,HomeTeam,AwayTeam,HomeMax4thLead,RoadMax4thLead,HomeWinMargin
768,BOS,SAC,13,-6,9
769,CHA,CHI,22,-12,17
770,CLE,SAC,24,-17,20
771,IND,LAL,7,4,2
772,PHI,LAC,9,0,-6
773,BKN,DEN,5,2,1
774,DET,TOR,-8,21,-14
775,ATL,ORL,11,1,-7
776,MEM,POR,5,1,-6
777,MIN,NO,-13,28,-14
778,PHX,OKC,-3,16,-16
779,MIA,SA,-7,24,-18
780,NY,WSH,1,10,-3
781,MIL,BOS,19,0,1
782,DAL,UTAH,10,2,-2
783,GS,HOU,13,-3,13
784,IND,CHA,-14,25,-22
785,ORL,SA,14,3,-2
786,PHI,SAC,11,5,-4
787,BOS,LAC,5,6,5
788,BKN,MEM,-16,26,-19
789,CLE,LAL,21,-8,9
790,CHI,ATL,-15,23,-23
791,MIN,TOR,6,3,5
792,NO,UTAH,6,6,4
793,PHX,GS,-8,18,-8
794,POR,HOU,20,-5,13
795,MIL,WSH,7,3,7
796,OKC,NO,27,-21,26
797,CLE,CHI,20,-11,11
798,LAC,SA,19,-6,19
799,ORL,DAL,0,9,6
800,WSH,DET,21,-12,12
801,BKN,NY,17,-3,11
802,ATL,MIA,2,8,-4
803,CHI,TOR,13,-2,10
804,MEM,MIN,7,5,5
805,NO,PHI,9,-3,7
806,OKC,IND,7,4,-3
807,MIL,CHA,8,4,-3
808,PHX,HOU,-16,27,-16
809,POR,GS,38,-23,32
810,SAC,DEN,13,-5,6
811,UTAH,BOS,18,-7,18
812,LAL,SA,-5,12,-6
813,ATL,MIL,1,9,-8
814,MIA,WSH,25,-14,20
815,MIN,NY,-8,22,-8
816,LAC,GS,-3,16,-3
817,DET,NO,1,9,-5
818,OKC,CLE,-17,23,-23
819,DEN,BOS,-11,24,-20
820,PHX,SA,0,8,-7
821,BKN,CHA,-6,13,-8
822,ORL,IND,1,4,-3
823,TOR,MEM,14,-5,13
824,DAL,PHI,28,-15,26
825,CHI,LAL,18,-3,11
826,POR,UTAH,4,5,4
827,CLE,DET,-7,18,-8
